wavelength,flux
3200.0,0.0
3200.1112949813455,0.0
3200.222589962691,0.0
3200.3338849440365,0.0
3200.445179925382,0.0
3200.5564749067275,0.0
3200.667769888073,0.0
3200.7790648694186,0.0
3200.890359850764,0.0
3201.0016548321096,0.0
3201.112949813455,0.0
3201.224244794801,0.0
3201.3355397761466,0.0
3201.446834757492,0.0
3201.5581297388376,0.0
3201.669424720183,0.0
3201.7807197015286,0.0
3201.892014682874,0.0
3202.0033096642196,0.0
3202.114604645565,0.0
3202.2258996269106,0.0
3202.337194608256,0.0
3202.4484895896016,0.0
3202.559784570947,0.0
3202.6710795522927,0.0
3202.782374533638,0.0
3202.8936695149837,0.0
3203.004964496329,0.0
3203.1162594776747,0.0
3203.22755445902,0.0
3203.3388494403657,0.0
3203.4501444217112,0.0
3203.5614394030567,0.0
3203.6727343844027,0.0
3203.784029365748,0.0
3203.8953243470937,0.0
3204.0066193284392,0.0
3204.1179143097847,0.0
3204.2292092911302,0.0
3204.3405042724758,0.0
3204.4517992538213,0.0
3204.563094235167,0.0
3204.6743892165123,0.0
3204.785684197858,0.0
3204.8969791792033,0.0
3205.008274160549,0.0
3205.1195691418943,0.0
3205.23086412324,0.0
3205.3421591045853,0.0
3205.453454085931,0.0
3205.5647490672764,0.0
3205.676044048622,0.0
3205.7873390299674,0.0
3205.898634011313,0.0
3206.009928992659,0.0
3206.1212239740044,0.0
3206.23251895535,0.0
3206.3438139366954,0.0
3206.455108918041,0.0
3206.5664038993864,0.0
3206.677698880732,0.0
3206.7889938620774,0.0
3206.900288843423,0.0
3207.0115838247684,0.0
3207.122878806114,0.0
3207.2341737874594,0.0
3207.345468768805,0.0
3207.4567637501505,0.0
3207.568058731496,0.0
3207.6793537128415,0.0
3207.790648694187,0.0
3207.9019436755325,0.0
3208.013238656878,0.0
3208.1245336382235,0.0
3208.235828619569,0.0
3208.3471236009145,0.0
3208.4584185822605,0.0
3208.569713563606,0.0
3208.6810085449515,0.0
3208.792303526297,0.0
3208.9035985076425,0.0
3209.014893488988,0.0
3209.1261884703335,0.0
3209.237483451679,0.0
3209.3487784330246,0.0
3209.46007341437,0.0
3209.5713683957156,0.0
3209.682663377061,0.0
3209.7939583584066,0.0
3209.905253339752,0.0
3210.0165483210976,0.0
3210.127843302443,0.0
3210.2391382837886,0.0
3210.350433265134,0.0
3210.4617282464797,0.0
3210.573023227825,0.0
3210.6843182091707,0.0
3210.7956131905166,0.0
3210.906908171862,0.0
3211.0182031532077,0.0
3211.129498134553,0.0
3211.2407931158987,0.0
3211.352088097244,0.0
3211.4633830785897,0.0
3211.574678059935,0.0
3211.6859730412807,0.0
3211.797268022626,0.0
3211.9085630039717,0.0
3212.0198579853172,0.0
3212.1311529666627,0.0
3212.2424479480082,0.0
3212.3537429293538,0.0
3212.4650379106993,0.0
3212.576332892045,0.0
3212.6876278733903,0.0
3212.798922854736,0.0
3212.9102178360813,0.0
3213.021512817427,0.0
3213.1328077987723,0.0
3213.2441027801183,0.0
3213.355397761464,0.0
3213.4666927428093,0.0
3213.577987724155,0.0
3213.6892827055003,0.0
3213.800577686846,0.0
3213.9118726681913,0.0
3214.023167649537,0.0
3214.1344626308824,0.0
3214.245757612228,0.0
3214.3570525935734,0.0
3214.468347574919,0.0
3214.5796425562644,0.0
3214.69093753761,0.0
3214.8022325189554,0.0
3214.913527500301,0.0
3215.0248224816464,0.0
3215.136117462992,0.0
3215.2474124443374,0.0
3215.358707425683,0.0
3215.4700024070285,0.0
3215.5812973883744,0.0
3215.69259236972,0.0
3215.8038873510654,0.0
3215.915182332411,0.0
3216.0264773137565,0.0
3216.137772295102,0.0
3216.2490672764475,0.0
3216.360362257793,0.0
3216.4716572391385,0.0
3216.582952220484,0.0
3216.6942472018295,0.0
3216.805542183175,0.0
3216.9168371645205,0.0
3217.028132145866,0.0
3217.1394271272115,0.0
3217.250722108557,0.0
3217.3620170899026,0.0
3217.473312071248,0.0
3217.5846070525936,0.0
3217.695902033939,0.0
3217.8071970152846,0.0
3217.91849199663,18.219566
3218.029786977976,13.844886
3218.1410819593216,14.8764
3218.252376940667,13.849159
3218.3636719220126,13.81556
3218.474966903358,12.682833
3218.5862618847036,13.266233
3218.697556866049,17.233118
3218.8088518473946,19.5767
3218.92014682874,17.270077
3219.0314418100857,14.146735
3219.142736791431,15.688393
3219.2540317727767,17.587397
3219.365326754122,11.351337
3219.4766217354677,11.579991
3219.587916716813,16.098297
3219.6992116981587,15.20192
3219.810506679504,13.734139
3219.9218016608497,14.470944
3220.0330966421952,19.153612
3220.1443916235407,19.84549
3220.2556866048863,25.430225
3220.366981586232,33.349182
3220.4782765675777,27.59547
3220.5895715489232,16.858456
3220.7008665302687,11.607903
3220.8121615116142,18.320189
3220.9234564929598,20.615582
3221.0347514743053,25.667768
3221.146046455651,36.10056
3221.2573414369963,58.76544
3221.368636418342,46.37511
3221.4799313996873,24.651999
3221.591226381033,19.771946
3221.7025213623783,18.23391
3221.813816343724,18.037128
3221.9251113250693,20.93659
3222.036406306415,21.034678
3222.1477012877604,21.078192
3222.258996269106,18.373379
3222.3702912504514,23.544989
3222.481586231797,24.735363
3222.5928812131424,21.782885
3222.704176194488,20.368505
3222.815471175834,22.536457
3222.9267661571794,21.056824
3223.038061138525,20.558453
3223.1493561198704,20.292944
3223.260651101216,22.196836
3223.3719460825614,21.563477
3223.483241063907,19.15033
3223.5945360452524,17.861141
3223.705831026598,21.784576
3223.8171260079434,22.386553
3223.928420989289,21.90761
3224.0397159706345,21.950026
3224.15101095198,22.94121
3224.2623059333255,22.04956
3224.373600914671,18.566265
3224.4848958960165,19.77723
3224.596190877362,22.066784
3224.7074858587075,19.788755
3224.818780840053,19.795036
3224.9300758213985,23.423807
3225.041370802744,24.97989
3225.15266578409,24.429174
3225.2639607654355,35.38722
3225.375255746781,53.82103
3225.4865507281265,54.51623
3225.597845709472,45.09091
3225.7091406908175,40.967163
3225.820435672163,41.200333
3225.9317306535086,41.37952
3226.043025634854,39.324284
3226.1543206161996,42.64348
3226.265615597545,40.00178
3226.3769105788906,35.822605
3226.488205560236,29.505928
3226.5995005415816,24.495018
3226.710795522927,23.214037
3226.8220905042726,26.37441
3226.933385485618,35.186047
3227.0446804669637,35.605713
3227.155975448309,28.297707
3227.2672704296547,24.278286
3227.378565411,26.72071
3227.4898603923457,30.431372
3227.6011553736917,33.688766
3227.712450355037,51.99972
3227.8237453363827,56.41628
3227.935040317728,36.912086
3228.0463352990737,26.175493
3228.157630280419,24.900265
3228.2689252617647,23.468498
3228.38022024311,26.390722
3228.4915152244557,28.841272
3228.6028102058012,25.953394
3228.7141051871467,34.465595
3228.8254001684923,60.177155
3228.9366951498378,106.36766
3229.0479901311833,102.856964
3229.159285112529,54.750996
3229.2705800938743,31.90027
3229.38187507522,30.809336
3229.4931700565653,26.917032
3229.604465037911,24.665283
3229.7157600192563,24.274403
3229.827055000602,29.454098
3229.938349981948,35.204605
3230.0496449632933,32.95301
3230.160939944639,29.381884
3230.2722349259843,27.591925
3230.38352990733,28.047775
3230.4948248886753,29.874327
3230.606119870021,29.774075
3230.7174148513664,37.08557
3230.828709832712,50.463795
3230.9400048140574,45.638153
3231.051299795403,28.511862
3231.1625947767484,26.555944
3231.273889758094,34.333344
3231.3851847394394,34.658043
3231.496479720785,28.9853
3231.6077747021304,30.197706
3231.719069683476,44.119335
3231.8303646648214,69.12281
3231.941659646167,110.32676
3232.0529546275125,164.96513
3232.164249608858,181.84259
3232.2755445902035,155.23964
3232.3868395715494,99.66388
3232.498134552895,44.039257
3232.6094295342405,37.085358
3232.720724515586,45.40147
3232.8320194969315,39.619183
3232.943314478277,28.499962
3233.0546094596225,28.222368
3233.165904440968,34.089626
3233.2771994223135,33.647522
3233.388494403659,26.927334
3233.4997893850045,27.27983
3233.61108436635,26.525606
3233.7223793476956,23.998018
3233.833674329041,25.009674
3233.9449693103866,26.369951
3234.056264291732,27.890642
3234.1675592730776,24.28674
3234.278854254423,22.581219
3234.3901492357686,26.620253
3234.501444217114,27.135082
3234.6127391984596,29.584251
3234.724034179805,38.462353
3234.835329161151,55.01975
3234.9466241424966,69.40879
